"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_001MA","B28001_001EA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004EA","B28001_004M","B28001_004MA","B28001_005E","B28001_005EA","B28001_005M","B28001_005MA","B28001_006E","B28001_006EA","B28001_006M","B28001_006MA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008M","B28001_008MA","B28001_008EA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010M","B28001_010MA","B28001_010EA","B28001_011E","B28001_011EA","B28001_011M","B28001_011MA",
"0400000US23","Maine","554061","2330","null","null","481851","2566","null","null","445516","2863","null","null","103269","null","1879","null","348419","null","2652","null","13531","null","785","null","274602","2638","null","null","3800","389","null","null","20720","null","726","null","782","191","null","null","72210","null","1587","null",
"0400000US24","Maryland","2181093","4999","null","null","1966652","5988","null","null","1812240","7403","null","null","229119","null","2942","null","1639617","null","5825","null","64900","null","1756","null","1266182","6899","null","null","11466","740","null","null","136455","null","2956","null","1900","298","null","null","214441","null","2921","null",
"0400000US25","Massachusetts","2585715","5003","null","null","2299279","6256","null","null","2130940","6833","null","null","315240","null","3287","null","1866762","null","6147","null","67787","null","1942","null","1441024","6734","null","null","16063","945","null","null","121693","null","2294","null","3190","364","null","null","286436","null","2934","null",
"0400000US26","Michigan","3888646","8344","null","null","3364712","9844","null","null","2992993","12006","null","null","505405","null","3982","null","2682251","null","8886","null","163070","null","2650","null","2032865","9422","null","null","28629","1130","null","null","139822","null","2458","null","5076","515","null","null","523934","null","3689","null",
"0400000US27","Minnesota","2153202","5375","null","null","1919289","6263","null","null","1769701","7015","null","null","272706","null","2683","null","1549159","null","6150","null","60404","null","1673","null","1195127","6593","null","null","13037","556","null","null","86704","null","1598","null","2255","267","null","null","233913","null","2241","null",
"0400000US28","Mississippi","1103514","4104","null","null","872118","4965","null","null","706001","5583","null","null","107673","null","2011","null","726329","null","4445","null","80475","null","2425","null","511776","4950","null","null","8166","674","null","null","41328","null","1610","null","958","202","null","null","231396","null","3101","null",
"0400000US29","Missouri","2386203","6827","null","null","2043379","7787","null","null","1801843","9267","null","null","309255","null","3972","null","1635252","null","7249","null","108220","null","2503","null","1219579","8180","null","null","15689","778","null","null","86940","null","2354","null","3171","330","null","null","342824","null","3346","null",
"0400000US30","Montana","419975","2155","null","null","361792","2285","null","null","332499","2483","null","null","72674","null","1444","null","269720","null","2519","null","12036","null","702","null","207133","2540","null","null","2993","386","null","null","11764","null","711","null","369","99","null","null","58183","null","1316","null",
"0400000US31","Nebraska","748405","2213","null","null","650350","2771","null","null","587352","3058","null","null","101282","null","1513","null","516661","null","2815","null","27556","null","1186","null","393619","3141","null","null","4387","385","null","null","29791","null","1094","null","767","130","null","null","98055","null","1750","null",
"0400000US32","Nevada","1052249","3833","null","null","943892","4357","null","null","839354","4871","null","null","118620","null","2296","null","778591","null","4502","null","46305","null","1367","null","577901","4867","null","null","5791","519","null","null","60168","null","1899","null","1216","236","null","null","108357","null","2111","null",
"0400000US33","New Hampshire","526710","2332","null","null","480447","2402","null","null","451742","2606","null","null","88613","null","1912","null","365134","null","2911","null","11120","null","808","null","288447","2746","null","null","3092","362","null","null","27413","null","1142","null","625","174","null","null","46263","null","1372","null",
"0400000US34","New Jersey","3199111","7594","null","null","2844381","8183","null","null","2618692","9578","null","null","349689","null","3598","null","2357019","null","7873","null","93221","null","2078","null","1815171","8222","null","null","17697","899","null","null","158470","null","2771","null","4275","417","null","null","354730","null","3440","null",
"0400000US35","New Mexico","770435","3318","null","null","629179","3538","null","null","547709","3536","null","null","97792","null","2059","null","498885","null","3876","null","38396","null","1554","null","367866","3689","null","null","5106","515","null","null","34940","null","1315","null","973","188","null","null","141256","null","2553","null",
"0400000US36","New York","7302710","13551","null","null","6341493","15134","null","null","5769337","17678","null","null","906791","null","5894","null","5108751","null","14824","null","242663","null","3811","null","3880711","17348","null","null","46408","1407","null","null","437823","null","6152","null","10621","673","null","null","961217","null","6157","null",
"0400000US37","North Carolina","3874346","8789","null","null","3313482","10697","null","null","2939686","12821","null","null","457451","null","4545","null","2690975","null","9999","null","168759","null","3683","null","2020223","10813","null","null","26148","1260","null","null","174739","null","3165","null","3724","321","null","null","560864","null","4747","null",
"0400000US38","North Dakota","311525","1685","null","null","271870","1820","null","null","247899","2206","null","null","40353","null","1062","null","217751","null","1888","null","10336","null","751","null","167071","2002","null","null","1951","332","null","null","10968","null","613","null","270","90","null","null","39655","null","1052","null",
"0400000US39","Ohio","4633145","10307","null","null","3974014","10951","null","null","3520819","14287","null","null","610979","null","4325","null","3156183","null","9841","null","195320","null","3486","null","2405887","12025","null","null","34363","1326","null","null","170630","null","3173","null","5544","469","null","null","659131","null","3607","null",
"0400000US40","Oklahoma","1468971","2956","null","null","1247216","3446","null","null","1054474","3854","null","null","158470","null","2022","null","1030288","null","3764","null","88171","null","1787","null","750924","3951","null","null","9873","571","null","null","80522","null","1568","null","1758","219","null","null","221755","null","2337","null",
"0400000US41","Oregon","1571631","4213","null","null","1423014","5040","null","null","1306876","6071","null","null","213842","null","2294","null","1140201","null","4765","null","49179","null","1875","null","865593","5286","null","null","8234","597","null","null","56269","null","1623","null","1792","300","null","null","148617","null","2395","null",
"0400000US42","Pennsylvania","5007442","10133","null","null","4244504","11176","null","null","3842736","13920","null","null","714802","null","4852","null","3302016","null","9875","null","170186","null","3339","null","2533389","11489","null","null","34548","1149","null","null","187334","null","3024","null","5112","452","null","null","762938","null","4654","null",
"0400000US44","Rhode Island","412028","1756","null","null","355894","1998","null","null","322641","2129","null","null","51974","null","1497","null","285216","null","2251","null","13126","null","915","null","220722","2403","null","null","2901","398","null","null","16441","null","1010","null","567","160","null","null","56134","null","1456","null",
"0400000US45","South Carolina","1871307","5896","null","null","1575373","6931","null","null","1367592","8108","null","null","210937","null","2975","null","1285450","null","6389","null","95674","null","2505","null","954449","6663","null","null","13187","791","null","null","108280","null","2658","null","2378","390","null","null","295934","null","3483","null",
"0400000US46","South Dakota","339458","1687","null","null","289523","1994","null","null","262852","2340","null","null","52213","null","1214","null","220306","null","1849","null","10985","null","674","null","169826","1982","null","null","2252","268","null","null","14416","null","702","null","540","138","null","null","49935","null","1070","null",
"0400000US47","Tennessee","2547194","6362","null","null","2118574","8130","null","null","1838179","9780","null","null","291153","null","3346","null","1723220","null","7701","null","127067","null","2749","null","1287706","7870","null","null","17292","933","null","null","112542","null","2890","null","2270","263","null","null","428620","null","3960","null",
"0400000US48","Texas","9430419","18380","null","null","8256957","23026","null","null","7145807","30170","null","null","836272","null","6536","null","7047317","null","21118","null","527751","null","6920","null","5180359","24333","null","null","52724","1569","null","null","502213","null","6502","null","10416","737","null","null","1173462","null","8027","null",
"0400000US49","Utah","938365","2549","null","null","877065","2900","null","null","816598","3483","null","null","90491","null","1814","null","746248","null","3304","null","26081","null","1211","null","582513","3891","null","null","3782","428","null","null","37490","null","1233","null","601","138","null","null","61300","null","1560","null",
"0400000US50","Vermont","258535","1156","null","null","226558","1519","null","null","211774","1499","null","null","48366","null","1085","null","163475","null","1565","null","5183","null","471","null","129675","1655","null","null","1853","236","null","null","11149","null","687","null","355","99","null","null","31977","null","987","null",
"0400000US51","Virginia","3105636","8001","null","null","2750148","9510","null","null","2515256","10952","null","null","344524","null","3299","null","2271709","null","9278","null","105044","null","2697","null","1744269","9416","null","null","15414","723","null","null","154693","null","2726","null","3378","391","null","null","355488","null","3576","null",
"0400000US53","Washington","2755697","6338","null","null","2518920","7052","null","null","2340527","8203","null","null","333684","null","3575","null","2064010","null","6759","null","75251","null","2185","null","1587343","6798","null","null","13517","851","null","null","139940","null","2920","null","2746","328","null","null","236777","null","3184","null",
"0400000US54","West Virginia","737671","2866","null","null","588460","3334","null","null","514719","3466","null","null","113034","null","2155","null","437629","null","3258","null","29777","null","1106","null","334917","3143","null","null","7612","549","null","null","28460","null","1144","null","965","225","null","null","149211","null","2225","null",
"0400000US55","Wisconsin","2328754","6459","null","null","2016475","6728","null","null","1831368","7617","null","null","342038","null","3237","null","1564364","null","5689","null","80161","null","1927","null","1202185","6545","null","null","14807","643","null","null","74600","null","1605","null","2917","295","null","null","312279","null","2496","null",
"0400000US56","Wyoming","230237","1679","null","null","206744","1730","null","null","187197","1774","null","null","33639","null","1125","null","161723","null","1876","null","7890","null","594","null","124168","1787","null","null","1581","244","null","null","9141","null","609","null","199","84","null","null","23493","null","915","null",
"0400000US72","Puerto Rico","1222606","3569","null","null","752502","4329","null","null","553237","3689","null","null","124632","null","2387","null","587737","null","4429","null","103780","null","2376","null","378365","3866","null","null","11618","801","null","null","46464","null","1586","null","2648","316","null","null","470104","null","3508","null",
