"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_001MA","B28001_001EA","B28001_002E","B28001_002M","B28001_002MA","B28001_002EA","B28001_003E","B28001_003M","B28001_003MA","B28001_003EA","B28001_004E","B28001_004M","B28001_004MA","B28001_004EA","B28001_005E","B28001_005M","B28001_005MA","B28001_005EA","B28001_006E","B28001_006M","B28001_006MA","B28001_006EA","B28001_007E","B28001_007M","B28001_007MA","B28001_007EA","B28001_008E","B28001_008EA","B28001_008M","B28001_008MA","B28001_009E","B28001_009EA","B28001_009M","B28001_009MA","B28001_010E","B28001_010M","B28001_010MA","B28001_010EA","B28001_011E","B28001_011M","B28001_011MA","B28001_011EA",
"0400000US46","South Dakota","341565","2003","null","null","296335","2264","null","null","262954","2519","null","null","39457","1115","null","null","239810","2398","null","null","15296","853","null","null","183449","2197","null","null","2916","null","365","null","12227","null","642","null","441","125","null","null","45230","1063","null","null",
"0400000US47","Tennessee","2567061","6524","null","null","2185963","7772","null","null","1845754","10424","null","null","217689","2791","null","null","1866243","7409","null","null","175654","3568","null","null","1383226","9170","null","null","20909","null","919","null","111171","null","2793","null","1908","249","null","null","381098","3547","null","null",
"0400000US48","Texas","9553046","18343","null","null","8525218","22766","null","null","7208368","29966","null","null","615002","5411","null","null","7580422","20381","null","null","718165","8837","null","null","5501551","28663","null","null","59372","null","1926","null","448833","null","5964","null","7350","530","null","null","1027828","7498","null","null",
"0400000US49","Utah","957619","2261","null","null","903951","2839","null","null","832235","3673","null","null","64774","1394","null","null","801802","3101","null","null","34212","1290","null","null","633637","3695","null","null","4517","null","485","null","33788","null","1228","null","505","125","null","null","53668","1544","null","null",
"0400000US50","Vermont","259589","1229","null","null","230736","1312","null","null","211971","1729","null","null","38158","984","null","null","176527","1479","null","null","7670","634","null","null","140717","1595","null","null","2632","null","289","null","9821","null","717","null","286","87","null","null","28853","897","null","null",
"0400000US51","Virginia","3128415","7210","null","null","2811441","7978","null","null","2524905","11355","null","null","256763","2998","null","null","2427717","6962","null","null","145922","3507","null","null","1867871","10373","null","null","19405","null","877","null","138316","null","2781","null","2623","304","null","null","316974","3124","null","null",
"0400000US53","Washington","2800423","5474","null","null","2595537","6305","null","null","2375587","8054","null","null","247214","2888","null","null","2232145","6399","null","null","103686","2742","null","null","1727870","8068","null","null","16737","null","784","null","122256","null","2824","null","2326","373","null","null","204886","3275","null","null",
"0400000US54","West Virginia","734676","2910","null","null","601224","3089","null","null","507602","3605","null","null","88047","1646","null","null","471953","3252","null","null","43521","1612","null","null","361430","3519","null","null","9566","null","658","null","25574","null","964","null","849","192","null","null","133452","2142","null","null",
"0400000US55","Wisconsin","2343129","6471","null","null","2061845","6806","null","null","1834832","7923","null","null","258355","3446","null","null","1691181","6433","null","null","110047","2585","null","null","1302737","7243","null","null","19517","null","786","null","70095","null","1514","null","2511","286","null","null","281284","2241","null","null",
"0400000US56","Wyoming","230630","1390","null","null","209397","1537","null","null","186229","1687","null","null","24523","908","null","null","173875","1781","null","null","10649","762","null","null","132663","1976","null","null","1970","null","306","null","7183","null","524","null","191","93","null","null","21233","983","null","null",
"0400000US72","Puerto Rico","1205075","4286","null","null","777129","4818","null","null","529242","4315","null","null","86499","1802","null","null","652773","4530","null","null","152770","2576","null","null","379931","3851","null","null","12700","null","707","null","40345","null","1402","null","2144","345","null","null","427946","3675","null","null",
